PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN TP DIST 2,709,265,9,0,0,0,274,252,2,1,0,0,255,11,1,0,0,0,12,6,0,0,0,0,6,2,0,0,0,0,2,2,0,0,0,0,2,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL ACRES,1123,337,43,0,0,0,380,415,24,0,0,0,439,24,1,0,0,0,25,17,0,0,0,0,17,4,0,0,0,0,4,2,1,0,0,0,3,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE WARD 1 DIST 1,1020,375,10,0,0,0,385,210,8,0,0,0,218,36,0,0,0,0,36,6,0,0,0,0,6,8,0,0,0,0,8,4,0,0,0,0,4,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE WARD 1 DIST 2,963,403,14,1,0,0,418,182,3,0,0,0,185,19,1,0,0,0,20,6,1,0,0,0,7,5,0,0,0,0,5,2,0,0,0,0,2,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE WARD 2 DIST 1,1133,437,10,0,0,0,447,233,4,0,0,0,237,20,2,0,0,0,22,11,0,0,0,0,11,12,0,0,0,0,12,1,1,0,0,0,2,731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE WARD 2 DIST 2,967,363,6,1,0,0,370,229,2,2,0,0,233,26,1,0,0,0,27,13,2,0,0,0,15,5,1,0,0,0,6,2,1,0,0,0,3,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE WARD 3 DIST 1,1014,385,15,0,0,0,400,213,4,0,0,0,217,29,0,0,0,0,29,11,0,0,0,0,11,10,0,0,0,0,10,4,1,0,0,0,5,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLEVUE WARD 3 DIST 2,926,342,19,1,0,0,362,241,4,0,0,0,245,27,0,0,0,0,27,7,0,0,0,0,7,8,2,0,0,0,10,2,0,0,0,0,2,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN AVON DIST 1,473,230,13,0,0,0,243,113,10,1,0,0,124,18,0,0,0,0,18,12,1,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN AVON DIST 2,949,390,26,0,0,0,416,267,5,0,0,0,272,31,1,0,0,0,32,12,0,1,0,0,13,4,0,0,0,0,4,2,0,0,0,0,2,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN AVON HT,314,124,5,0,0,0,129,109,7,0,0,0,116,10,2,0,0,0,12,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 1 DIST 1,875,269,30,0,0,0,299,337,7,1,0,0,345,19,1,1,0,0,21,8,0,0,0,0,8,8,0,0,0,0,8,0,1,0,0,0,1,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 1 DIST 2,820,290,12,0,0,0,302,267,5,0,0,0,272,20,0,0,0,0,20,7,0,0,0,0,7,4,1,0,0,0,5,0,0,0,0,0,0,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 1 DIST 3,820,259,8,0,0,0,267,317,11,0,0,0,328,12,0,0,0,0,12,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 2 DIST 1,734,240,16,0,0,0,256,303,20,0,0,0,323,15,1,0,0,0,16,6,0,0,0,0,6,1,0,0,0,0,1,1,1,0,0,0,2,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 2 DIST 2,908,280,17,0,0,0,297,379,33,1,0,0,413,11,1,0,0,0,12,12,1,0,0,0,13,1,0,0,0,0,1,1,0,0,0,0,1,737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 2 DIST 3,1113,345,12,1,0,0,358,406,17,0,0,0,423,29,0,0,0,0,29,15,0,0,0,0,15,8,0,0,0,0,8,3,0,0,0,0,3,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 3 DIST 1,792,262,14,0,0,0,276,343,22,0,0,0,365,11,0,0,0,0,11,7,0,0,0,0,7,2,0,0,0,0,2,2,0,0,0,0,2,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 3 DIST 2,927,272,14,0,0,0,286,399,12,0,0,0,411,21,0,0,0,0,21,7,0,0,0,0,7,5,1,0,0,0,6,2,0,0,0,0,2,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 3 DIST 3,1061,347,10,0,0,0,357,435,12,1,0,0,448,30,3,0,0,0,33,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 4 DIST 1,1300,391,37,0,0,0,428,510,35,0,0,0,545,26,2,0,0,0,28,10,3,0,0,0,13,3,0,0,0,0,3,1,0,0,0,0,1,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 4 DIST 2,806,238,20,1,0,0,259,285,8,0,0,0,293,18,0,0,0,0,18,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 4 DIST 3,869,262,14,0,0,0,276,351,14,0,0,0,365,12,0,0,0,0,12,8,0,0,0,0,8,5,0,0,0,0,5,1,0,0,0,0,1,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 5 DIST 1,603,193,6,0,0,0,199,258,18,0,0,0,276,8,1,0,0,0,9,2,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 5 DIST 2,644,209,7,0,0,0,216,227,6,0,0,0,233,8,0,0,0,0,8,1,0,0,0,0,1,4,0,0,0,0,4,2,0,0,0,0,2,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 5 DIST 3,1478,461,30,2,0,0,493,492,23,2,0,0,517,36,0,0,0,0,36,12,1,0,0,0,13,5,1,0,0,0,6,2,0,0,0,0,2,1067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 6 DIST 1,1283,389,19,0,0,0,408,509,22,0,0,0,531,22,2,0,0,0,24,14,1,0,0,0,15,7,0,0,0,0,7,0,0,0,0,0,0,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 6 DIST 2,963,345,9,0,0,0,354,363,15,0,0,0,378,22,2,1,0,0,25,6,0,0,0,0,6,1,1,0,0,0,2,4,0,0,0,0,4,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL PARK WARD 6 DIST 3,767,244,18,0,0,0,262,316,13,0,0,0,329,15,1,0,0,0,16,5,1,0,0,0,6,5,0,0,0,0,5,3,0,0,0,0,3,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
