PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 1,357,163,9,0,0,0,172,60,0,0,0,0,60,7,0,0,0,0,7,4,0,0,0,0,4,4,1,0,0,0,5,0,0,0,0,0,0,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 2,667,321,12,1,0,0,334,105,3,0,0,0,108,13,0,0,0,0,13,3,1,0,0,0,4,8,0,0,0,0,8,1,0,0,0,0,1,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 3,853,346,19,1,0,0,366,121,5,0,0,0,126,11,0,0,0,0,11,14,0,0,0,0,14,15,0,0,0,0,15,3,0,0,0,0,3,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 4,768,360,31,1,0,0,392,99,1,0,0,0,100,15,2,0,0,0,17,9,0,0,0,0,9,13,1,0,0,0,14,1,0,0,0,0,1,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 5,595,301,12,0,0,0,313,79,0,0,0,0,79,7,1,0,0,0,8,3,3,0,0,0,6,8,0,0,0,0,8,1,0,0,0,0,1,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 6,430,202,5,0,0,0,207,51,0,0,0,0,51,6,2,0,0,0,8,4,0,0,0,0,4,4,1,0,0,0,5,2,0,0,0,0,2,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 7,802,457,18,0,0,0,475,53,4,0,0,0,57,14,0,0,0,0,14,5,0,0,0,0,5,8,0,0,0,0,8,1,0,0,0,0,1,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 8,632,341,13,0,0,0,354,65,2,1,0,0,68,18,0,0,0,0,18,8,1,0,0,0,9,8,0,0,0,0,8,0,0,0,0,0,0,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 9,733,361,17,1,0,0,379,55,1,0,0,0,56,10,0,0,0,0,10,6,0,0,0,0,6,5,0,0,0,0,5,3,0,0,0,0,3,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 10,664,365,18,0,0,0,383,58,5,0,0,0,63,9,0,0,0,0,9,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 11,615,312,16,1,0,0,329,48,0,0,0,0,48,13,0,0,0,0,13,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 12,636,341,22,0,0,0,363,22,2,0,0,0,24,4,0,0,0,0,4,7,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 8 DIST 13,614,342,18,1,0,0,361,17,1,0,0,0,18,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 1,485,220,11,2,0,0,233,51,3,1,0,0,55,11,1,0,0,0,12,4,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 2,631,301,22,0,14,0,337,63,1,0,0,0,64,16,1,0,0,0,17,3,0,0,0,0,3,6,0,0,1,0,7,0,0,0,0,0,0,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 3,601,305,12,0,0,0,317,70,4,0,0,0,74,12,0,0,0,0,12,4,0,0,0,0,4,6,0,0,0,0,6,2,0,0,0,0,2,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 4,590,286,13,1,0,0,300,58,4,0,0,0,62,20,1,0,0,0,21,4,0,0,0,0,4,7,0,0,0,0,7,2,0,0,0,0,2,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 5,695,315,25,1,0,0,341,97,8,0,0,0,105,8,1,0,0,0,9,6,0,0,0,0,6,11,1,0,0,0,12,0,0,0,0,0,0,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 6,583,293,26,0,0,0,319,73,3,0,0,0,76,8,1,0,0,0,9,4,0,0,0,0,4,5,1,0,0,0,6,0,0,0,0,0,0,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 7,449,222,12,0,0,0,234,58,1,0,0,0,59,8,0,0,0,0,8,2,1,0,0,0,3,5,0,0,0,0,5,1,0,0,0,0,1,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 8,711,361,25,0,0,0,386,79,2,0,0,0,81,14,0,0,0,0,14,10,1,0,0,0,11,8,0,0,0,0,8,0,0,0,0,0,0,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 9 DIST 9,650,282,14,0,0,0,296,77,4,1,0,0,82,11,0,0,0,0,11,5,0,0,0,0,5,12,1,1,0,0,14,1,0,0,0,0,1,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 1,538,244,5,1,0,0,250,72,3,0,0,0,75,10,0,0,0,0,10,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 2,627,302,10,2,0,0,314,80,2,0,0,0,82,11,0,0,0,0,11,3,0,0,0,0,3,7,0,0,0,0,7,1,0,0,0,0,1,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 3,669,356,9,1,0,0,366,86,2,0,0,0,88,7,0,0,0,0,7,4,0,0,0,0,4,10,0,0,0,0,10,0,0,0,0,0,0,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 4,540,313,14,0,0,0,327,85,2,0,0,0,87,5,0,0,0,0,5,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 5,510,271,5,2,0,0,278,76,4,0,0,0,80,13,0,0,0,0,13,3,0,0,0,0,3,5,0,0,0,0,5,4,0,0,0,0,4,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 6,520,235,7,0,0,0,242,91,1,0,0,0,92,18,0,0,0,0,18,7,1,0,0,0,8,2,0,0,0,0,2,1,0,0,0,0,1,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 7,585,268,15,0,0,0,283,107,6,0,0,0,113,10,0,0,0,0,10,9,0,0,0,0,9,5,0,0,0,0,5,1,0,0,0,0,1,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 8,588,258,14,0,0,0,272,136,1,0,0,0,137,9,0,0,0,0,9,8,0,0,0,0,8,8,1,0,0,0,9,1,0,0,0,0,1,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 10 DIST 9,541,251,11,0,0,0,262,111,0,0,0,0,111,13,0,0,0,0,13,4,0,0,0,0,4,5,0,0,0,0,5,1,0,0,0,0,1,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 10,597,341,13,0,0,0,354,110,0,1,0,0,111,15,0,0,0,0,15,5,0,0,0,0,5,6,0,0,0,0,6,3,0,0,0,0,3,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 11,617,312,15,0,0,0,327,91,1,0,0,0,92,9,1,0,0,0,10,7,0,0,0,0,7,8,1,0,0,0,9,1,0,0,0,0,1,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 12,563,331,19,1,0,0,351,24,5,0,0,0,29,3,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 13,542,329,18,0,0,0,347,52,1,0,0,0,53,10,1,0,0,0,11,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 14,546,359,14,1,0,0,374,40,1,0,0,0,41,2,0,0,0,0,2,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 15,362,237,5,0,0,0,242,12,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 16,339,195,2,0,0,0,197,4,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 17,543,310,12,0,0,0,322,22,1,0,0,0,23,7,0,0,0,0,7,6,0,0,0,0,6,7,0,0,0,0,7,1,0,0,0,0,1,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 18,559,320,8,2,0,0,330,12,0,0,0,0,12,4,0,0,0,0,4,2,0,0,0,0,2,6,0,0,0,0,6,1,0,0,0,0,1,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 10 DIST 19,483,293,6,0,0,0,299,12,0,0,0,0,12,3,0,0,0,0,3,2,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 1,607,360,25,0,0,0,385,37,3,0,0,0,40,10,0,0,0,0,10,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 2,582,347,13,0,0,0,360,12,0,0,0,0,12,8,0,2,0,0,10,3,0,0,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 3,465,289,4,0,0,0,293,7,0,0,0,0,7,1,0,0,0,0,1,2,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 4,547,314,9,2,0,0,325,3,0,0,0,0,3,2,0,0,0,0,2,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 5,591,334,6,1,0,0,341,16,0,0,0,0,16,5,0,0,0,0,5,4,0,0,0,0,4,7,1,0,0,0,8,0,0,0,0,0,0,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 6,881,494,19,1,0,0,514,45,0,0,0,0,45,12,0,0,0,0,12,9,0,0,0,0,9,9,0,0,0,0,9,1,0,0,0,0,1,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 7,653,365,25,0,0,0,390,66,7,0,0,0,73,10,0,0,0,0,10,7,0,0,0,0,7,9,1,0,0,0,10,0,0,0,0,0,0,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 8,600,318,20,0,0,0,338,52,1,0,0,0,53,9,1,0,0,0,10,0,1,0,0,0,1,5,0,0,0,0,5,0,0,0,0,0,0,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 11 DIST 9,637,409,24,1,0,0,434,46,2,0,0,0,48,8,0,0,0,0,8,2,0,0,0,0,2,9,0,0,0,0,9,0,0,0,0,0,0,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 10,581,363,29,0,0,0,392,59,2,0,0,0,61,4,1,0,0,0,5,2,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 11,696,414,18,0,0,0,432,35,2,0,0,0,37,12,1,0,0,0,13,2,0,0,0,0,2,8,0,0,0,0,8,3,0,0,0,0,3,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 12,661,383,43,0,0,0,426,43,0,0,0,0,43,2,0,0,0,0,2,4,0,0,0,0,4,10,1,0,0,0,11,1,1,0,0,0,2,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 13,672,416,17,1,0,0,434,52,1,0,0,0,53,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,5,2,0,0,0,0,2,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 14,579,330,13,1,0,0,344,17,1,0,0,0,18,1,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 15,325,145,3,3,0,0,151,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 16,603,283,36,1,0,0,320,25,8,0,0,0,33,4,1,0,0,0,5,6,0,0,0,0,6,7,0,0,0,0,7,1,0,0,0,0,1,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 17,672,394,12,0,0,0,406,20,0,0,0,0,20,1,0,0,0,0,1,4,0,0,0,0,4,3,0,1,0,0,4,0,0,0,0,0,0,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 11 DIST 18,572,297,7,0,0,0,304,14,0,0,0,0,14,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,2,0,0,0,0,2,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 1,236,97,22,0,0,0,119,10,3,0,0,0,13,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 2,335,215,4,1,0,0,220,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 3,118,70,1,0,0,0,71,4,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 4,342,212,5,0,0,0,217,3,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 5,176,94,0,0,0,0,94,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 6,245,143,3,0,0,0,146,2,1,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 7,298,166,5,0,0,0,171,2,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 8,227,136,4,0,0,0,140,3,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 12 DIST 9,350,178,3,1,0,0,182,4,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 10,455,271,8,2,0,0,281,2,2,0,0,0,4,0,1,0,0,0,1,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 11,473,304,5,1,0,0,310,5,0,0,0,0,5,1,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 12,765,301,27,0,0,0,328,5,9,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 13,427,257,5,0,0,0,262,2,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 14,357,200,7,2,0,0,209,3,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,1,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 15,555,385,12,1,0,0,398,6,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 12 DIST 16,399,232,7,1,0,0,240,7,1,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,6,2,0,0,0,0,2,1,0,0,0,0,1,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 1,311,206,6,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,0,0,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 2,410,244,6,1,0,0,251,8,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 3,344,215,4,0,0,0,219,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 4,312,168,2,1,0,0,171,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 5,346,190,6,0,0,0,196,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 6,362,211,0,2,0,0,213,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 7,387,215,4,1,0,0,220,8,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 8,262,149,3,0,0,0,152,5,0,0,0,0,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WARD 13 DIST 9,325,181,3,0,0,0,184,4,0,0,0,0,4,3,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH WRD 13 DIST 10,223,136,1,0,0,0,137,3,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
